id;title;description;publication_date;price
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;2020-12-24;79996
2;forecast;Tasty Fresh Chips Baht;2020-12-25;75640
3;Configuration mobile intuitive;Center;2020-12-25;58159
4;generate;Designer calculating;2020-12-25;47433
5;toolset ADP;synthesizing Industrial;2020-12-24;12667
6;Representative software;Bedfordshire calculating Toys;2020-12-25;81667
7;Books Soft;FTP Points;2020-12-24;19605
8;Generic ivory;lime;2020-12-24;88762
9;cross-platform;Consultant XML methodologies;2020-12-24;39936
10;application;withdrawal payment;2020-12-25;5839
